date,datetime,open,high,low,close,volume,stock_code,stock_name
20250909,2025-09-09,219500.0,220500.0,218500.0,219000.0,407652,005380,현대차
20250910,2025-09-10,219500.0,222000.0,219000.0,220500.0,427432,005380,현대차
20250911,2025-09-11,221500.0,223000.0,219000.0,223000.0,569436,005380,현대차
20250912,2025-09-12,222500.0,224000.0,220500.0,223500.0,666184,005380,현대차
20250915,2025-09-15,221500.0,221500.0,215000.0,215000.0,1712249,005380,현대차
20250916,2025-09-16,216000.0,216500.0,215000.0,215000.0,492855,005380,현대차
20250917,2025-09-17,216000.0,216500.0,215000.0,216000.0,412548,005380,현대차
20250918,2025-09-18,216500.0,218500.0,215000.0,218500.0,652885,005380,현대차
20250919,2025-09-19,218000.0,218500.0,212000.0,214000.0,1301527,005380,현대차
20250922,2025-09-22,215000.0,219000.0,214500.0,218000.0,499195,005380,현대차
20250923,2025-09-23,217500.0,220000.0,217500.0,219000.0,473760,005380,현대차
20250924,2025-09-24,218000.0,219500.0,216500.0,217500.0,383310,005380,현대차
20250925,2025-09-25,217000.0,217500.0,215500.0,217000.0,509882,005380,현대차
20250926,2025-09-26,215000.0,215500.0,213000.0,214500.0,448652,005380,현대차
20250929,2025-09-29,215500.0,216500.0,214000.0,215000.0,339105,005380,현대차
20250930,2025-09-30,214000.0,216000.0,214000.0,215000.0,339691,005380,현대차
20251001,2025-10-01,215500.0,217000.0,215000.0,215500.0,297048,005380,현대차
20251002,2025-10-02,216500.0,223000.0,216500.0,220000.0,1099674,005380,현대차
20251010,2025-10-10,219000.0,220250.0,216500.0,217000.0,779161,005380,현대차
20251013,2025-10-13,214500.0,219500.0,214000.0,218500.0,544349,005380,현대차
20251014,2025-10-14,218500.0,225000.0,218000.0,223000.0,885802,005380,현대차
20251015,2025-10-15,223000.0,224000.0,220000.0,223500.0,670710,005380,현대차
20251016,2025-10-16,237000.0,245000.0,234000.0,242000.0,2115204,005380,현대차
20251017,2025-10-17,241000.0,246000.0,239500.0,243000.0,994190,005380,현대차
20251020,2025-10-20,251500.0,252000.0,241500.0,248000.0,1155423,005380,현대차
20251021,2025-10-21,252000.0,267000.0,251500.0,256500.0,2002410,005380,현대차
20251022,2025-10-22,265000.0,265000.0,254500.0,261000.0,1060973,005380,현대차
20251023,2025-10-23,256500.0,258500.0,251000.0,252000.0,909720,005380,현대차
20251024,2025-10-24,253500.0,254000.0,248000.0,252500.0,775983,005380,현대차
20251027,2025-10-27,253500.0,259500.0,253000.0,254500.0,763121,005380,현대차
20251028,2025-10-28,253500.0,253500.0,249000.0,250500.0,677447,005380,현대차
20251029,2025-10-29,254500.0,259500.0,251000.0,258000.0,937830,005380,현대차
20251030,2025-10-30,287500.0,289500.0,263000.0,265000.0,2958411,005380,현대차
20251031,2025-10-31,273500.0,294000.0,270500.0,290000.0,3631736,005380,현대차
20251103,2025-11-03,297500.0,298000.0,288000.0,291500.0,1498016,005380,현대차
20251104,2025-11-04,286500.0,288500.0,276000.0,276000.0,1416294,005380,현대차
20251105,2025-11-05,270000.0,271500.0,259000.0,268500.0,1420277,005380,현대차
20251106,2025-11-06,274500.0,275000.0,264500.0,269000.0,686561,005380,현대차
20251107,2025-11-07,261000.0,267000.0,259500.0,264000.0,666772,005380,현대차
20251110,2025-11-10,266500.0,274000.0,265000.0,270500.0,692464,005380,현대차
20251111,2025-11-11,272500.0,274000.0,267500.0,269000.0,494203,005380,현대차
20251112,2025-11-12,271500.0,278500.0,269500.0,275500.0,807526,005380,현대차
20251113,2025-11-13,273000.0,279000.0,272500.0,278500.0,681153,005380,현대차
20251114,2025-11-14,272500.0,278000.0,272000.0,272500.0,579023,005380,현대차
20251117,2025-11-17,275500.0,275500.0,271500.0,271500.0,384305,005380,현대차
20251118,2025-11-18,269000.0,271500.0,263500.0,264500.0,475705,005380,현대차
20251119,2025-11-19,272000.0,272000.0,261500.0,264000.0,413452,005380,현대차
20251120,2025-11-20,267000.0,267500.0,262000.0,262000.0,501196,005380,현대차
20251121,2025-11-21,255000.0,261000.0,254500.0,259500.0,538414,005380,현대차
20251124,2025-11-24,262000.0,262000.0,257500.0,257500.0,610389,005380,현대차
20251125,2025-11-25,261000.0,262000.0,256500.0,257500.0,390393,005380,현대차
20251126,2025-11-26,260500.0,262000.0,259500.0,261500.0,402781,005380,현대차
20251127,2025-11-27,261500.0,262500.0,259500.0,261500.0,289061,005380,현대차
20251128,2025-11-28,261500.0,265500.0,259000.0,261500.0,511004,005380,현대차
20251201,2025-12-01,261000.0,261500.0,253500.0,254500.0,555473,005380,현대차
20251202,2025-12-02,257500.0,267500.0,257000.0,266000.0,1084944,005380,현대차
20251203,2025-12-03,266500.0,267500.0,263000.0,266500.0,483994,005380,현대차
20251204,2025-12-04,273000.0,284500.0,270000.0,283500.0,1994134,005380,현대차
20251205,2025-12-05,282000.0,316500.0,280000.0,315000.0,3892799,005380,현대차
